"Fecha","Categoría","Tipo","Monto","Activo","Libro mayor","Reembolsar","Comentar"
"ago 01 2026 20:54","Comida","Expensas","-11846","Mercadopago & else","Mi libro mayor","","juntada sabado (sanguches + sabores express + pepsi)"
"ago 01 2026 17:53","Coche","Expensas","-75000","Mercadopago & else","Mi libro mayor","","nafta lleno"
"jul 31 2026 20:52","Coche","Expensas","-28457","Mercadopago & else","Mi libro mayor","","ida y vuelta del after"
"jul 31 2026 17:51","Juego","Expensas","-4500","Mercadopago & else","Mi libro mayor","","bills must be paid"
"jul 30 2026 18:51","Coche","Expensas","-10600","Mercadopago & else","Mi libro mayor","","didi vuelta a3 10600"
"jul 30 2026 16:50","Comida","Expensas","-5700","Mercadopago & else","Mi libro mayor","","carrot cake a3"
"jul 30 2026 08:50","Coche","Expensas","-11000","Mercadopago & else","Mi libro mayor","","didi ida A3"
"jul 29 2026 12:24","Comida","Expensas","-8200","Mercadopago & else","Mi libro mayor","","ciabatton"
"jul 29 2026 08:49","Coche","Expensas","-14700","Mercadopago & else","Mi libro mayor","","didi a cormls"
"jul 26 2026 17:49","Super","Expensas","-10357","Mercadopago & else","Mi libro mayor","","super merienda bren"
"jul 25 2026 17:47","Super","Expensas","-16250","Mercadopago & else","Mi libro mayor","","super fsjitss"
"jul 25 2026 17:41","Varios","Expensas","-6300","Mercadopago & else","Mi libro mayor","","runchyroll"
"jul 24 2026 00:59","Juego","Expensas","-15000","Mercadopago & else","Mi libro mayor","","Denshattack"
"jul 23 2026 22:59","Comida","Expensas","-19000","Mercadopago & else","Mi libro mayor","","mcdonalds mcaya"
"jul 23 2026 20:58","Varios","Expensas","-31000","Mercadopago & else","Mi libro mayor","","telo"
"jul 23 2026 00:58","Juego","Expensas","-5250","Mercadopago & else","Mi libro mayor","","super battle golf de dani"
"jul 22 2026 18:56","Coche","Expensas","-4000","Mercadopago & else","Mi libro mayor","","didi vuelta d elo d maru"
"jul 22 2026 17:55","Varios","Expensas","-22500","Mercadopago & else","Mi libro mayor","","figma premium q compraba"
"jul 22 2026 16:54","Bebida ","Expensas","-4400","Mercadopago & else","Mi libro mayor","","monstwr de mang"
"jul 22 2026 12:54","Comida","Expensas","-8100","Mercadopago & else","Mi libro mayor","","ciabaton flaco"
"jul 22 2026 08:54","Coche","Expensas","-12800","Mercadopago & else","Mi libro mayor","","didi a la ofi"
"jul 19 2026 22:51","Varios","Expensas","-29200","Mercadopago & else","Mi libro mayor","","entrada imax y pochoxlos"
"jul 19 2026 01:48","Comida","Expensas","-5700","Mercadopago & else","Mi libro mayor","","unos panchos para todos los pibes"
